feature,PSI_1_2,PSI_1_3,PSI_1_4,PSI_1_5,PSI_1_6,PSI_1_7,PSI_1_8,PSI_1_9,PSI_1_10,PSI_1_11,PSI_1_12,PSI_1_2,PSI_2_3,PSI_3_4,PSI_4_5,PSI_5_6,PSI_6_7,PSI_7_8,PSI_8_9,PSI_9_10,PSI_10_11,PSI_11_12
pub_rec,0.000444588023277,0.000574473607426,0.000854043632292,0.000641848227831,0.000622485606914,0.000777094439451,0.00024731066775,0.000295292980708,0.00014843235596,0.000751449042074,0.00154002031282,0.000444588023277,0.000477967249803,5.13405783204e-05,7.31995771154e-05,5.96334454047e-06,0.000318189093994,0.000147901380219,0.000181090214058,0.000102974438115,0.00060849112472,0.000141659179195
revol_bal,0.00161831468569,0.000613778158051,0.00157221156551,0.00417604998308,0.00539108193477,0.0024554462468,0.00191238071155,0.00163775830659,0.0015152757854,0.0062573293993,0.00547400349526,0.00161831468569,0.00179269357612,0.00162533567843,0.000744884812773,0.000536498120081,0.00205338882454,0.000544398717147,0.00113995530552,0.00107050563339,0.00273291659443,0.000234385149132
total_acc,0.000769432516333,0.0011761315412,0.000932770185361,0.00181780582485,0.00332381910837,0.000286847131795,0.00538435188917,0.00189866410256,0.00213093156975,0.00399784530066,0.00345600298254,0.000769432516333,0.000684063018928,0.000694273326144,0.000546537749054,0.000862882894031,0.00228618627534,0.00378018812004,0.00154273789891,0.000520024479799,0.000581945965195,0.00102399375292
acc_now_delinq,1.36793781654e-06,3.40698921184e-05,3.30153989484e-06,5.58881837162e-07,2.19650850894e-05,1.30003918108e-05,6.85582312827e-05,0.000113870631415,3.32749168411e-07,1.0895281405e-05,1.58961226124e-05,1.36793781654e-06,2.1783641738e-05,1.61591943745e-05,6.57719619879e-06,1.55163684029e-05,1.16867305086e-06,2.18473500646e-05,5.71502899278e-06,0.000101889935061,7.41988279563e-06,4.70838684323e-07
tot_coll_amt,2.3040295858e-06,5.53222038463e-05,0.000534736022488,0.000588399466445,0.00159227680207,0.00029499640727,0.00060583714176,0.000118000886535,0.000797614318101,0.000807324362845,0.00211210935525,2.3040295858e-06,3.49378988552e-05,0.000304072899781,0.000211248216984,0.000245272145721,0.000627452606052,6.25995733306e-05,0.000192512764738,0.000315648181621,2.2183281509e-05,0.000313909920007
tot_cur_bal,0.00163683808566,0.000850899232482,0.000655481857349,0.00128089651736,0.00119986886716,0.000960701178498,0.000489587358966,0.00210963001647,0.00210821577956,0.0012385193293,0.00110139402054,0.00163683808566,0.00147423931284,0.00101551465398,0.00126678587399,0.000752250262674,0.00185836333114,0.000976597444696,0.00216261997941,0.00140066986392,0.000643773321106,0.000580930538646
open_acc_6m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26479968004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26479968004
open_il_6m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06659063169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06659063169
open_il_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36094667543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36094667543
open_il_24m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15555029674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15555029674
mths_since_rcnt_il,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87002160446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87002160446
total_bal_il,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84902973862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84902973862
il_util,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700392670756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700392670756
open_rv_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21693676862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21693676862
open_rv_24m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00981748318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00981748318
max_bal_bc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848870511843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848870511843
all_util,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864799697542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864799697542
total_rev_hi_lim,0.00122766321344,0.000840557699111,0.000775312321155,0.000701853366508,0.000832555707453,0.00296411909159,0.0024617848781,0.00727272897572,0.00504742425787,0.0045963891496,0.00495621236111,0.00122766321344,0.00242273389595,0.000280071985556,0.000670752539399,0.000708525529502,0.00227725490091,0.000502383835651,0.00162126062952,0.000652506648698,0.00163018911415,0.000613647826131
inq_fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32937627422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32937627422
total_cu_tl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29295247405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29295247405
inq_last_12m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09148267606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09148267606
acc_open_past_24mths,0.000394298250689,0.00145316804056,0.00362323834158,0.00510385551957,0.00478579265629,0.00680561760641,0.00335762181948,0.00478525875269,0.00172874329245,0.00319714782591,0.00940935271109,0.000394298250689,0.00121468496592,0.00111152085726,0.000406874482168,0.0003102443497,0.000637758862856,0.00519653662469,0.00226956391487,0.00158802228113,0.000771225462416,0.00307496993185
avg_cur_bal,0.00153620531418,0.000693616156781,0.00071615160373,0.000783641932258,0.00145387504289,0.000897841860192,0.000552040495065,0.00119573835249,0.00108271535837,0.000697802904885,0.000905096013603,0.00153620531418,0.00104893673659,0.000861259814967,0.000875727193452,0.000390517907501,0.00144158672643,0.0012411682275,0.000764334034058,0.000295030512422,0.000418225160664,0.000317625368673
